REGIONE;ALIMENTAZIONE;EURO 0;EURO 1;EURO 2;EURO 3;EURO 4;EURO 5;EURO 6;Non contemplato;Non identificato;TOTALE
EMILIA ROMAGNA;BENZINA E GAS LIQUIDO Totale;17153;4538;12694;12372;114155;67387;90722;;34;319055
EMILIA ROMAGNA;BENZINA E METANO Totale;9146;2442;8875;11528;76063;55938;46857;;15;210864
EMILIA ROMAGNA;GASOLIO Totale;23945;7384;43148;146307;264633;317372;366887;;14;1169690
EMILIA ROMAGNA;ELETTRICITA Totale;;;;;;;;1542;;1542
EMILIA ROMAGNA;IBRIDO BENZINA Totale;;;;;674;5235;31144;;;37053
EMILIA ROMAGNA;IBRIDO GASOLIO Totale;;;;;;223;1968;;1;2192
EMILIA ROMAGNA;ALTRE Totale;78;;;1;1;;1;;;81
EMILIA ROMAGNA;NON DEFINITO Totale;33;;;;3;;;;5;41
TOSCANA;BENZINA Totale;137207;32578;113867;135789;302445;164098;272935;;1176;1160095
TOSCANA;BENZINA E GAS LIQUIDO Totale;9158;2350;5341;4573;47033;36360;55032;;17;159864
TOSCANA;BENZINA E METANO Totale;2981;905;2861;2732;24793;27550;25041;;2;86865
TOSCANA;GASOLIO Totale;21560;5916;31324;113284;247661;267230;462471;;13;1149459
TOSCANA;ELETTRICITA Totale;;;;;;;;2812;;2812
TOSCANA;IBRIDO BENZINA Totale;;;;;313;2435;14539;;1;17288
TOSCANA;IBRIDO GASOLIO Totale;;;;;;99;1313;;;1412
TOSCANA;ALTRE Totale;45;;;;;;;;;45
TOSCANA;NON DEFINITO Totale;49;;;2;3;;;;24;78
UMBRIA;BENZINA Totale;45967;11178;38338;33038;59692;24794;36687;;231;249925
UMBRIA;BENZINA E GAS LIQUIDO Totale;4903;1277;2769;2098;14630;8543;12184;;6;46410
UMBRIA;BENZINA E METANO Totale;1861;605;2042;1768;12262;12391;13180;;4;44113
UMBRIA;GASOLIO Totale;8849;2778;15685;44429;86626;67816;73615;;5;299803
UMBRIA;ELETTRICITA Totale;;;;;;;;190;;190
UMBRIA;IBRIDO BENZINA Totale;;;;;42;467;2974;;;3483
UMBRIA;IBRIDO GASOLIO Totale;;;;;;44;299;;1;344
UMBRIA;ALTRE Totale;11;;;;;;;;;11
UMBRIA;NON DEFINITO Totale;13;;;1;2;;;;1;17
MARCHE;BENZINA Totale;64272;15915;54698;49250;93145;41458;54963;;252;373953
MARCHE;BENZINA E GAS LIQUIDO Totale;6417;1587;3391;2543;21950;12649;19909;;5;68451
MARCHE;BENZINA E METANO Totale;5604;2059;8352;7720;39901;37613;34374;;3;135626
MARCHE;GASOLIO Totale;10598;3712;21287;68318;134172;101950;112255;;8;452300
MARCHE;ELETTRICITA Totale;;;;;;;;273;;273
MARCHE;IBRIDO BENZINA Totale;;;;;89;711;4622;;;5422
MARCHE;IBRIDO GASOLIO Totale;;;;;;44;512;;;556
MARCHE;ALTRE Totale;7;;;;;2;1;;;10
MARCHE;NON DEFINITO Totale;10;;;1;;;;;2;13
LAZIO;BENZINA Totale;275031;67208;223275;209845;465156;231456;335557;;2101;1809629
LAZIO;BENZINA E GAS LIQUIDO Totale;21114;6172;15949;13024;100504;56618;85094;;14;298489
LAZIO;BENZINA E METANO Totale;842;325;1068;1268;13902;10048;7632;;3;35088
LAZIO;GASOLIO Totale;57027;14578;72430;261315;502375;363565;357266;;57;1628613
LAZIO;ELETTRICITA Totale;;;;;;;;2626;;2626
LAZIO;IBRIDO BENZINA Totale;;;;;694;6513;34740;;5;41952
LAZIO;IBRIDO GASOLIO Totale;;;;;;172;1290;;;1462
LAZIO;ALTRE Totale;26;;;;1;;1;;;28
LAZIO;NON DEFINITO Totale;393;6;2;29;12;2;;;41;485
ABRUZZO;BENZINA Totale;64733;16657;56880;50593;87491;35109;51840;;317;363620
ABRUZZO;BENZINA E GAS LIQUIDO Totale;7019;2239;4486;3001;20079;11156;16847;;8;64835
ABRUZZO;BENZINA E METANO Totale;1106;383;1163;979;8337;8938;6731;;2;27639
ABRUZZO;GASOLIO Totale;12083;5182;26070;73530;133270;91715;89654;;11;431515
ABRUZZO;ELETTRICITA Totale;;;;;;;;187;;187
ABRUZZO;IBRIDO BENZINA Totale;;;;;71;575;3080;;;3726
ABRUZZO;IBRIDO GASOLIO Totale;;;;;;33;306;;;339
ABRUZZO;ALTRE Totale;10;;;;;;;;;10
ABRUZZO;NON DEFINITO Totale;10;;;1;;;;;4;15
MOLISE;BENZINA Totale;17764;4741;14659;10990;14827;5342;7142;;94;75559
MOLISE;BENZINA E GAS LIQUIDO Totale;1362;533;1106;738;4483;1994;2471;;2;12689
MOLISE;BENZINA E METANO Totale;319;150;396;311;2343;1407;842;;;5768
MOLISE;GASOLIO Totale;3913;2131;10587;23581;39136;23277;17594;;9;120228
MOLISE;ELETTRICITA Totale;;;;;;;;22;;22
MOLISE;IBRIDO BENZINA Totale;;;;;6;56;405;;;467
MOLISE;IBRIDO GASOLIO Totale;;;;;;9;38;;;47
MOLISE;ALTRE Totale;4;;;;;;;;;4
MOLISE;NON DEFINITO Totale;1;;;;;;;;;1
CAMPANIA;BENZINA Totale;455757;100317;267869;210488;299235;107501;131454;;3899;1576520
CAMPANIA;BENZINA E GAS LIQUIDO Totale;38846;10515;27152;23234;109273;52384;54692;;111;316207
CAMPANIA;BENZINA E METANO Totale;2893;1110;4316;5401;37322;24918;9996;;17;85973
CAMPANIA;GASOLIO Totale;123589;28380;100829;259744;515535;285143;242904;;82;1556206
CAMPANIA;ELETTRICITA Totale;;;;;;;;421;;421
CAMPANIA;IBRIDO BENZINA Totale;;;;;88;743;4844;;;5675
CAMPANIA;IBRIDO GASOLIO Totale;;;;;;87;754;;1;842
CAMPANIA;ALTRE Totale;24;;;;;;;;;24
CAMPANIA;NON DEFINITO Totale;135;2;;3;1;;;;33;174
CALABRIA;BENZINA Totale;152535;42265;108083;80843;104485;36227;48113;;1284;573835
CALABRIA;BENZINA E GAS LIQUIDO Totale;7262;2833;4119;1727;13359;5548;5075;;8;39931
CALABRIA;BENZINA E METANO Totale;262;106;300;253;1751;2037;1442;;;6151
CALABRIA;GASOLIO Totale;40361;15737;55384;115064;218814;123527;110421;;47;679355
CALABRIA;ELETTRICITA Totale;;;;;;;;115;;115
CALABRIA;IBRIDO BENZINA Totale;;;;;36;355;2158;;;2549
CALABRIA;IBRIDO GASOLIO Totale;;;;;;36;275;;;311
CALABRIA;ALTRE Totale;9;;;;;;;;;9
CALABRIA;NON DEFINITO Totale;32;;1;1;;;;;12;46
PUGLIA;BENZINA Totale;197685;51380;169517;141599;215959;67121;79795;;1546;924602
PUGLIA;BENZINA E GAS LIQUIDO Totale;14854;4292;9590;6952;50066;23145;30915;;19;139833
PUGLIA;BENZINA E METANO Totale;2025;1099;3618;4207;21939;19582;13859;;3;66332
PUGLIA;GASOLIO Totale;51454;17508;79647;235870;433362;251167;196052;;35;1265095
PUGLIA;ELETTRICITA Totale;;;;;;;;324;;324
PUGLIA;IBRIDO BENZINA Totale;;;;;97;730;5050;;;5877
PUGLIA;IBRIDO GASOLIO Totale;;;;;;105;747;;;852
PUGLIA;ALTRE Totale;18;;;;;1;;;;19
PUGLIA;NON DEFINITO Totale;63;;;6;1;;;;17;87
BASILICATA;BENZINA Totale;34014;9321;27395;21574;27515;9169;12928;;204;142120
BASILICATA;BENZINA E GAS LIQUIDO Totale;1870;774;1445;804;5520;2525;4300;;1;17239
BASILICATA;BENZINA E METANO Totale;197;103;322;324;1785;1914;2589;;;7234
BASILICATA;GASOLIO Totale;9454;4189;18054;40377;69350;39568;30420;;9;211421
BASILICATA;ELETTRICITA Totale;;;;;;;;52;;52
BASILICATA;IBRIDO BENZINA Totale;;;;;8;96;518;;;622
BASILICATA;IBRIDO GASOLIO Totale;;;;;;22;104;;;126
BASILICATA;ALTRE Totale;1;;;;;;;;;1
BASILICATA;NON DEFINITO Totale;2;;;1;;;;;1;4
SICILIA;BENZINA Totale;377473;103149;302049;238159;347045;125121;151954;;2097;1647047
SICILIA;BENZINA E GAS LIQUIDO Totale;18770;6156;10396;5399;44511;19764;18543;;21;123560
SICILIA;BENZINA E METANO Totale;699;316;1000;959;7217;6328;3845;;2;20366
SICILIA;GASOLIO Totale;68891;25407;117192;302251;530295;286133;224965;;42;1555176
SICILIA;ELETTRICITA Totale;;;;;;;;440;;440
SICILIA;IBRIDO BENZINA Totale;;;;;92;979;6093;;;7164
SICILIA;IBRIDO GASOLIO Totale;;;;;;81;511;;;592
SICILIA;ALTRE Totale;13;;;3;;;;;;16
SICILIA;NON DEFINITO Totale;110;1;1;2;;;;;16;130
SARDEGNA;BENZINA Totale;81827;22333;79361;82339;138794;53230;71405;;648;529937
SARDEGNA;BENZINA E GAS LIQUIDO Totale;3276;1141;2284;1562;12573;3158;1829;;6;25829
SARDEGNA;BENZINA E METANO Totale;84;26;68;39;177;128;48;;;570
SARDEGNA;GASOLIO Totale;14814;5916;26911;90925;179265;105485;86902;;11;510229
SARDEGNA;ELETTRICITA Totale;;;;;;;;253;;253
SARDEGNA;IBRIDO BENZINA Totale;;;;;65;442;3102;;;3609
SARDEGNA;IBRIDO GASOLIO Totale;;;;;;27;188;;;215
SARDEGNA;ALTRE Totale;3;;;;1;;;;;4
SARDEGNA;NON DEFINITO Totale;28;;;;;;;;4;32
NON DEFINITO;BENZINA Totale;8809;321;472;119;173;;;;125;10019
NON DEFINITO;BENZINA E GAS LIQUIDO Totale;213;10;6;1;;;;;;230
NON DEFINITO;BENZINA E METANO Totale;54;3;3;1;9;;;;;70
NON DEFINITO;GASOLIO Totale;2014;63;75;75;72;2;;;6;2307
NON DEFINITO;NON DEFINITO Totale;2174;31;1;2;1;;;;1793;4002
