REGIONE;ALIMENTAZIONE;EURO 0;EURO 1;EURO 2;EURO 3;EURO 4;EURO 5;EURO 6;Non contemplato;Non identificato;TOTALE
PIEMONTE;BENZINA Totale;180664;43147;158690;176302;373431;180700;309448;;1039;1423421
PIEMONTE;BENZINA E GAS LIQUIDO Totale;11532;3394;10228;8232;85508;56831;89510;;15;265250
PIEMONTE;BENZINA E METANO Totale;648;151;408;891;16723;8115;7481;;1;34418
PIEMONTE;GASOLIO Totale;27945;8144;43520;152748;312640;307364;334183;;12;1186556
PIEMONTE;ELETTRICITA Totale;;;;;;;;1374;;1374
PIEMONTE;IBRIDO BENZINA Totale;;;;;392;3076;22133;;;25601
PIEMONTE;IBRIDO GASOLIO Totale;;;;;;175;1089;;;1264
PIEMONTE;ALTRE Totale;51;;;2;1;3;4;;;61
PIEMONTE;NON DEFINITO Totale;39;;2;11;6;;;;19;77
VALLE D'AOSTA;BENZINA Totale;5951;1431;5123;6004;15875;6783;43641;;8;84816
VALLE D'AOSTA;BENZINA E GAS LIQUIDO Totale;112;43;117;93;1538;519;762;;1;3185
VALLE D'AOSTA;BENZINA E METANO Totale;4;6;4;9;115;143;115;;;396
VALLE D'AOSTA;GASOLIO Totale;454;215;1418;4868;9647;13070;94536;;2;124210
VALLE D'AOSTA;ELETTRICITA Totale;;;;;;;;66;;66
VALLE D'AOSTA;IBRIDO BENZINA Totale;;;;;14;123;1038;;;1175
VALLE D'AOSTA;IBRIDO GASOLIO Totale;;;;;;13;41;;;54
VALLE D'AOSTA;ALTRE Totale;1;;;;;;;;;1
VALLE D'AOSTA;NON DEFINITO Totale;1;;;;;;;;;1
LOMBARDIA;BENZINA Totale;327077;85916;293623;341559;918562;562375;863058;;1866;3394036
LOMBARDIA;BENZINA E GAS LIQUIDO Totale;15509;4057;10001;9215;137377;78406;84499;;33;339097
LOMBARDIA;BENZINA E METANO Totale;1721;509;1524;2120;26487;22070;19059;;4;73494
LOMBARDIA;GASOLIO Totale;57044;14900;70880;263878;563340;656037;678666;;35;2304780
LOMBARDIA;ELETTRICITA Totale;;;;;;;;3954;;3954
LOMBARDIA;IBRIDO BENZINA Totale;;;;;2129;14794;75901;;1;92825
LOMBARDIA;IBRIDO GASOLIO Totale;;;;;;586;3254;;2;3842
LOMBARDIA;ALTRE Totale;86;;1;1;5;;;;;93
LOMBARDIA;NON DEFINITO Totale;289;8;8;13;5;;;;35;358
LIGURIA;BENZINA Totale;57241;14838;47337;53435;124044;67342;95013;;189;459439
LIGURIA;BENZINA E GAS LIQUIDO Totale;1880;482;1068;923;10212;6787;8980;;3;30335
LIGURIA;BENZINA E METANO Totale;406;127;255;286;2702;2959;2329;;;9064
LIGURIA;GASOLIO Totale;7856;2397;12080;43863;95771;89723;87591;;3;339284
LIGURIA;ELETTRICITA Totale;;;;;;;;309;;309
LIGURIA;IBRIDO BENZINA Totale;;;;;64;717;6014;;;6795
LIGURIA;IBRIDO GASOLIO Totale;;;;;;39;311;;;350
LIGURIA;ALTRE Totale;13;;;;;;1;;;14
LIGURIA;NON DEFINITO Totale;6;;;3;1;;;;2;12
FRIULI VENEZIA GIULIA;BENZINA Totale;44866;14946;57240;53955;129344;64251;85855;;290;450747
FRIULI VENEZIA GIULIA;BENZINA E GAS LIQUIDO Totale;1468;333;829;785;9946;3997;3982;;9;21349
FRIULI VENEZIA GIULIA;BENZINA E METANO Totale;117;36;168;190;1182;966;877;;;3536
FRIULI VENEZIA GIULIA;GASOLIO Totale;3694;1608;9420;45514;94451;87057;80837;;3;322584
FRIULI VENEZIA GIULIA;ELETTRICITA Totale;;;;;;;;349;;349
FRIULI VENEZIA GIULIA;IBRIDO BENZINA Totale;;;;;201;1397;6234;;;7832
FRIULI VENEZIA GIULIA;IBRIDO GASOLIO Totale;;;;;;53;365;;;418
FRIULI VENEZIA GIULIA;ALTRE Totale;17;;;;1;2;4;;;24
FRIULI VENEZIA GIULIA;NON DEFINITO Totale;17;;;;;;;;2;19
TRENTINO ALTO ADIGE;BENZINA Totale;27695;7656;26727;26311;90568;47183;167096;;108;393344
TRENTINO ALTO ADIGE;BENZINA E GAS LIQUIDO Totale;1220;379;808;789;9273;3831;14655;;1;30956
TRENTINO ALTO ADIGE;BENZINA E METANO Totale;100;26;79;140;1649;1399;7135;;2;10530
TRENTINO ALTO ADIGE;GASOLIO Totale;3886;1553;11122;40588;88140;112473;463640;;4;721406
TRENTINO ALTO ADIGE;ELETTRICITA Totale;;;;;;;;5606;;5606
TRENTINO ALTO ADIGE;IBRIDO BENZINA Totale;;;;;137;844;9619;;;10600
TRENTINO ALTO ADIGE;IBRIDO GASOLIO Totale;;;;;;70;617;;;687
TRENTINO ALTO ADIGE;ALTRE Totale;20;;;;;;1;;;21
TRENTINO ALTO ADIGE;NON DEFINITO Totale;12;;;1;3;;;;3;19
VENETO;BENZINA Totale;141951;43249;163368;153616;383621;182560;284759;;939;1354063
VENETO;BENZINA E GAS LIQUIDO Totale;14614;3586;9838;9056;100719;49459;64182;;39;251493
VENETO;BENZINA E METANO Totale;3242;1179;3885;4691;35013;27485;25742;;6;101243
VENETO;GASOLIO Totale;21916;8314;55352;193542;363915;395394;399107;;19;1437559
VENETO;ELETTRICITA Totale;;;;;;;;1813;;1813
VENETO;IBRIDO BENZINA Totale;;;;;846;5054;30594;;;36494
VENETO;IBRIDO GASOLIO Totale;;;;;;279;2175;;;2454
VENETO;ALTRE Totale;28;1;1;;5;8;;;;43
VENETO;NON DEFINITO Totale;51;;1;5;3;;;;5;65
EMILIA ROMAGNA;BENZINA Totale;144160;37515;132940;133195;325948;156005;247116;;732;1177611
