REGIONE;ALIMENTAZIONE;FASCIA;EURO 0;EURO 1;EURO 2;EURO 3;EURO 4;EURO 5;EURO 6;Non contemplato;Non identificato;TOTALE
PIEMONTE;BENZINA Totale;;183851;49049;197636;207644;407356;186970;186661;;1045;1420212
PIEMONTE;BENZINA E GAS LIQUIDO Totale;;12184;3944;13105;9257;92103;57166;49945;;15;237719
PIEMONTE;BENZINA E METANO Totale;;644;168;520;1022;18228;8900;4709;;1;34192
PIEMONTE;ELETTRICO-IBRIDO Totale;;;;;;450;3431;8608;446;;12935
PIEMONTE;GASOLIO Totale;;28092;8640;53720;196324;369100;330465;247613;;12;1233966
PIEMONTE;ALTRE Totale;;47;;;3;1;3;1;;;55
PIEMONTE;NON DEFINITO Totale;;40;1;2;16;7;;;;19;85
VALLE D'AOSTA;BENZINA Totale;;6157;1622;6426;7275;17801;7898;29490;;8;76677
VALLE D'AOSTA;BENZINA E GAS LIQUIDO Totale;;113;47;140;116;1757;531;516;;1;3221
VALLE D'AOSTA;BENZINA E METANO Totale;;5;6;3;10;108;181;95;;;408
VALLE D'AOSTA;ELETTRICO-IBRIDO Totale;;;;;;14;148;389;36;;587
VALLE D'AOSTA;GASOLIO Totale;;460;241;1707;5587;10455;20896;47026;;2;86374
VALLE D'AOSTA;ALTRE Totale;;1;;;;;;;;;1
VALLE D'AOSTA;NON DEFINITO Totale;;1;;;;;;;;;1
LOMBARDIA;BENZINA Totale;;332447;98272;376160;413020;1013450;579895;453795;;1874;3268913
LOMBARDIA;BENZINA E GAS LIQUIDO Totale;;15780;4464;12246;10565;152989;79346;46050;;34;321474
LOMBARDIA;BENZINA E METANO Totale;;1777;570;1921;2522;28517;22736;11457;;4;69504
LOMBARDIA;ELETTRICO-IBRIDO Totale;;;;;9;2429;16505;33439;1542;;53924
LOMBARDIA;GASOLIO Totale;;57422;15885;91711;375808;695706;698785;434110;;27;2369454
LOMBARDIA;ALTRE Totale;;81;;1;1;5;;;;;88
