REGIONE;ALIMENTAZIONE;FASCIA;EURO 0;EURO 1;EURO 2;EURO 3;EURO 4;EURO 5;EURO 6;Non contemplato;Non identificato;TOTALE
LOMBARDIA;NON DEFINITO Totale;;290;10;11;24;6;;;;35;376
LIGURIA;BENZINA Totale;;58761;17097;59667;64013;138357;70399;52297;;189;460780
LIGURIA;BENZINA E GAS LIQUIDO Totale;;1898;512;1287;1045;11625;7194;4994;;3;28558
LIGURIA;BENZINA E METANO Totale;;426;147;299;339;3080;3240;1547;;;9078
LIGURIA;ELETTRICO-IBRIDO Totale;;;;;;75;828;2400;77;;3380
LIGURIA;GASOLIO Totale;;7881;2515;14331;52462;108691;95490;54988;;3;336361
LIGURIA;ALTRE Totale;;11;;;;;;1;;;12
LIGURIA;NON DEFINITO Totale;;6;;;4;1;;;;2;13
FRIULI VENEZIA GIULIA;BENZINA Totale;;46812;18043;73183;63138;139364;65186;48833;;290;454849
FRIULI VENEZIA GIULIA;BENZINA E GAS LIQUIDO Totale;;1496;373;1027;847;10578;3859;2333;;9;20522
FRIULI VENEZIA GIULIA;BENZINA E METANO Totale;;120;42;234;215;1225;929;466;;;3231
FRIULI VENEZIA GIULIA;ELETTRICO-IBRIDO Totale;;1;;;;228;1514;2392;101;;4236
FRIULI VENEZIA GIULIA;GASOLIO Totale;;3760;1798;11638;54652;103509;85919;48326;;3;309605
FRIULI VENEZIA GIULIA;ALTRE Totale;;17;;;;1;2;3;;;23
FRIULI VENEZIA GIULIA;NON DEFINITO Totale;;17;;;;;;;;2;19
TRENTINO ALTO ADIGE;BENZINA Totale;;27825;8937;34689;31725;99249;49279;92933;;108;344745
TRENTINO ALTO ADIGE;BENZINA E GAS LIQUIDO Totale;;1225;431;1095;960;11003;4606;6759;;1;26080
TRENTINO ALTO ADIGE;BENZINA E METANO Totale;;93;37;121;190;1858;1943;4284;;2;8528
TRENTINO ALTO ADIGE;ELETTRICO-IBRIDO Totale;;;;;;147;1810;7208;1369;;10534
TRENTINO ALTO ADIGE;GASOLIO Totale;;3917;1750;14657;51154;98321;161535;331204;;4;662542
TRENTINO ALTO ADIGE;ALTRE Totale;;21;;;;;;;;;21
TRENTINO ALTO ADIGE;NON DEFINITO Totale;;11;;;3;5;;;;3;22
VENETO;BENZINA Totale;;146692;52769;215152;183326;418835;184939;147655;;944;1350312
VENETO;BENZINA E GAS LIQUIDO Totale;;15150;4102;12888;10837;108321;48132;34867;;39;234336
VENETO;BENZINA E METANO Totale;;3481;1412;5263;5731;36812;27180;15693;;6;95578
VENETO;ELETTRICO-IBRIDO Totale;;;;;;975;5400;13148;610;;20133
VENETO;GASOLIO Totale;;22130;9178;73012;249772;415829;400183;234138;;19;1404261
VENETO;ALTRE Totale;;27;1;1;;6;8;;;;43
VENETO;NON DEFINITO Totale;;51;;2;8;5;;;;6;72
EMILIA ROMAGNA;BENZINA Totale;;147150;43981;169678;159991;365667;162833;129894;;736;1179930
EMILIA ROMAGNA;BENZINA E GAS LIQUIDO Totale;;17749;5093;16194;14790;126041;67073;48929;;34;295903
EMILIA ROMAGNA;BENZINA E METANO Totale;;9697;2996;12281;14581;82777;57454;32131;;15;211932
EMILIA ROMAGNA;ELETTRICO-IBRIDO Totale;;;;;2;802;5848;14190;596;;21438
EMILIA ROMAGNA;GASOLIO Totale;;23815;7925;53628;183876;309248;334075;224617;;13;1137197
EMILIA ROMAGNA;ALTRE Totale;;76;;;1;;;1;;;78
EMILIA ROMAGNA;NON DEFINITO Totale;;33;;;;7;1;;;5;46
TOSCANA;BENZINA Totale;;140475;37418;143441;164791;345498;176173;147272;;1178;1156246
TOSCANA;BENZINA E GAS LIQUIDO Totale;;9430;2566;6342;5173;54115;38141;31038;;17;146822
TOSCANA;BENZINA E METANO Totale;;3174;1044;3589;3355;28087;30147;17420;;2;86818
TOSCANA;ELETTRICO-IBRIDO Totale;;;;;;371;3132;7068;720;;11291
TOSCANA;GASOLIO Totale;;21677;6254;36744;136832;289744;314678;287731;;13;1093673
TOSCANA;ALTRE Totale;;43;;;1;;;;;;44
TOSCANA;NON DEFINITO Totale;;49;;;2;3;;;;24;78
UMBRIA;BENZINA Totale;;48052;13177;47499;38398;65024;25658;20109;;233;258150
UMBRIA;BENZINA E GAS LIQUIDO Totale;;5052;1393;3147;2037;14542;8104;6094;;6;40375
UMBRIA;BENZINA E METANO Totale;;1945;704;2468;2000;12645;12574;9141;;4;41481
UMBRIA;ELETTRICO-IBRIDO Totale;;;;;;41;526;1299;70;;1936
UMBRIA;GASOLIO Totale;;8949;3045;19216;53034;95400;68156;41510;;5;289315
UMBRIA;ALTRE Totale;;7;;;;;;;;;7
UMBRIA;NON DEFINITO Totale;;13;;;1;2;;;;1;17
MARCHE;BENZINA Totale;;66832;19171;69684;57833;101697;42948;30120;;256;388541
MARCHE;BENZINA E GAS LIQUIDO Totale;;6585;1769;4148;2798;22378;11908;9838;;5;59429
MARCHE;BENZINA E METANO Totale;;5998;2533;11060;8996;40754;36765;23023;;3;129132
MARCHE;ELETTRICO-IBRIDO Totale;;1;;;;103;805;1865;108;;2882
MARCHE;GASOLIO Totale;;10705;4137;26530;82013;146869;101698;64201;;7;436160
MARCHE;ALTRE Totale;;5;;;;;2;;;;7
MARCHE;NON DEFINITO Totale;;10;;;2;;;;;2;14
LAZIO;BENZINA Totale;;295651;82010;282004;247987;508791;238822;180151;;2107;1837523
LAZIO;BENZINA E GAS LIQUIDO Totale;;23588;6912;17672;12360;97100;52356;40960;;14;250962
LAZIO;BENZINA E METANO Totale;;898;363;1313;1381;14126;9820;4507;;3;32411
LAZIO;ELETTRICO-IBRIDO Totale;;4;;1;3;740;6851;16740;1079;;25418
LAZIO;GASOLIO Totale;;60578;16754;88855;311062;540952;372524;224010;;55;1614790
LAZIO;ALTRE Totale;;25;;1;;1;;;;;27
LAZIO;NON DEFINITO Totale;;400;8;2;35;16;3;;;41;505
ABRUZZO;BENZINA Totale;;67317;19373;68989;57486;93251;35820;28106;;321;370663
ABRUZZO;BENZINA E GAS LIQUIDO Totale;;7242;2403;5234;3060;20010;10540;9074;;8;57571
ABRUZZO;BENZINA E METANO Totale;;1134;420;1384;1083;8413;8988;4774;;2;26198
ABRUZZO;ELETTRICO-IBRIDO Totale;;;;;1;87;626;1183;64;;1961
ABRUZZO;GASOLIO Totale;;12273;5702;31250;84314;140701;90391;49590;;10;414231
ABRUZZO;ALTRE Totale;;9;;;;;;;;;9
ABRUZZO;NON DEFINITO Totale;;10;;;1;;;;;4;15
MOLISE;BENZINA Totale;;18600;5625;17788;12137;15326;5288;3754;;96;78614
MOLISE;BENZINA E GAS LIQUIDO Totale;;1423;615;1310;690;4205;1730;1221;;2;11196
MOLISE;BENZINA E METANO Totale;;355;171;482;346;2287;1361;629;;;5631
MOLISE;ELETTRICO-IBRIDO Totale;;;;;;6;67;163;7;;243
MOLISE;GASOLIO Totale;;3995;2458;12749;26163;39308;21253;8687;;9;114622
MOLISE;ALTRE Totale;;3;;;;;;;;;3
MOLISE;NON DEFINITO Totale;;1;;;;;;;;;1
CAMPANIA;BENZINA Totale;;467398;112122;317480;233940;305056;107266;74621;;3905;1621788
CAMPANIA;BENZINA E GAS LIQUIDO Totale;;39868;11326;30716;20617;89544;41288;24363;;111;257833
CAMPANIA;BENZINA E METANO Totale;;2947;1224;5367;5945;33837;22173;7489;;17;78999
CAMPANIA;ELETTRICO-IBRIDO Totale;;;;;;92;870;2080;178;;3220
CAMPANIA;GASOLIO Totale;;125366;31125;119551;294416;518453;262447;124522;;83;1475963
CAMPANIA;ALTRE Totale;;21;;;;;;;;;21
CAMPANIA;NON DEFINITO Totale;;138;3;;5;1;;;;33;180
CALABRIA;BENZINA Totale;;157137;46204;121365;87194;107127;35994;26358;;1295;582674
CALABRIA;BENZINA E GAS LIQUIDO Totale;;7340;2902;4416;1673;12887;5202;2532;;8;36960
CALABRIA;BENZINA E METANO Totale;;258;106;331;255;1575;1995;984;;;5504
CALABRIA;ELETTRICO-IBRIDO Totale;;;;;1;40;413;944;55;;1453
CALABRIA;GASOLIO Totale;;40834;16603;61191;123727;216646;114966;59038;;46;633051
CALABRIA;ALTRE Totale;;9;;;;;;;;;9
CALABRIA;NON DEFINITO Totale;;32;;1;1;;;;;12;46
PUGLIA;BENZINA Totale;;209665;62636;210320;157122;219650;65559;44312;;1564;970828
PUGLIA;BENZINA E GAS LIQUIDO Totale;;15743;4966;12076;7343;46201;20652;16851;;19;123851
PUGLIA;BENZINA E METANO Totale;;2203;1326;4776;4732;20252;18425;10587;;3;62304
PUGLIA;ELETTRICO-IBRIDO Totale;;;;;1;105;840;2147;135;;3228
PUGLIA;GASOLIO Totale;;52508;20133;97829;262242;418669;219205;98233;;35;1168854
PUGLIA;ALTRE Totale;;16;;;1;;1;;;;18
PUGLIA;NON DEFINITO Totale;;66;;;6;1;;;;17;90
BASILICATA;BENZINA Totale;;35859;10997;32641;23395;28076;9003;7199;;206;147376
BASILICATA;BENZINA E GAS LIQUIDO Totale;;1955;842;1633;825;5263;2326;2325;;1;15170
BASILICATA;BENZINA E METANO Totale;;201;130;438;337;1720;1884;1998;;;6708
BASILICATA;ELETTRICO-IBRIDO Totale;;;;;;10;122;203;17;;352
BASILICATA;GASOLIO Totale;;9662;4841;21847;44844;68571;35713;15944;;9;201431
BASILICATA;ALTRE Totale;;1;;;;;;;;;1
BASILICATA;NON DEFINITO Totale;;2;;;;;;;;1;3
SICILIA;BENZINA Totale;;391098;117050;351836;258084;352787;123513;83244;;2106;1679718
SICILIA;BENZINA E GAS LIQUIDO Totale;;19242;6567;11785;5306;42418;18267;11376;;21;114982
SICILIA;BENZINA E METANO Totale;;722;328;1140;1029;6583;5933;2776;;2;18513
SICILIA;ELETTRICO-IBRIDO Totale;;;;;1;97;1065;2594;239;;3996
SICILIA;GASOLIO Totale;;69684;27741;134079;326472;513744;253895;115029;;41;1440685
SICILIA;ALTRE Totale;;11;;;4;;;;;;15
SICILIA;NON DEFINITO Totale;;111;1;1;2;;;;;17;132
SARDEGNA;BENZINA Totale;;84147;25391;96494;93044;145496;52852;39643;;650;537717
SARDEGNA;BENZINA E GAS LIQUIDO Totale;;3313;1240;2758;1822;12811;2917;955;;6;25822
SARDEGNA;BENZINA E METANO Totale;;82;25;70;40;143;97;19;;;476
SARDEGNA;ELETTRICO-IBRIDO Totale;;;;;;74;458;1262;111;;1905
SARDEGNA;GASOLIO Totale;;14952;6297;31222;100437;177598;95735;45576;;11;471828
SARDEGNA;ALTRE Totale;;2;;;;1;;;;;3
SARDEGNA;NON DEFINITO Totale;;28;;;1;1;;;;4;34
NON DEFINITO;BENZINA Totale;;8869;361;590;143;217;;;;127;10307
NON DEFINITO;BENZINA E GAS LIQUIDO Totale;;215;11;6;1;1;;;;;234
NON DEFINITO;BENZINA E METANO Totale;;59;3;4;1;11;;;;;78
NON DEFINITO;GASOLIO Totale;;2017;66;95;84;100;5;;;6;2373
NON DEFINITO;NON DEFINITO Totale;;2183;33;1;2;2;;;;1791;4012
