Comune;"PM10
valore della
concentrazione
media annua 
(in µg/m3)";"PM2,5
valore della
concentrazione
media annua
(in µg/m3)";"NO2
valore della
concentrazione
media annua di
(in µg/m3)";"B(a)P
valore della
concentrazione
media annua di
(in mg/m3)"
Torino;43;;59;0,7
Torino;39;27;40;0,8
Torino;38;27;;0,7
Torino;47;;;1
Torino;46;33;80;1,6
Vercelli;33;23;19;0,4
Vercelli;38;;31;
Novara;33;;53;0,4
Novara;30;22;26;0,4
Biella;22;16;17;0,5
Biella;27;;29;0,5
Cuneo;26;19;26;0,3
Verbania;18;14;29;0,4
Asti;40;;40;1
Asti;27;;29;
Alessandria;42;;38;0,6
Alessandria;37;26;35;0,5
Aosta;23;;28;1,4
Aosta;20;14;28;1,4
Aosta;;;25;
Aosta;20;12;30;1
Imperia;19;13;;
Savona;22;0;32;0
Savona;20;13;16;0
Savona;23;17;0;0,1
Genova;;;;
Genova;20;;31;
Genova;15;10;24;
Genova;;;19;
Genova;;;42;
Genova;;;;
Genova;;;57;
Genova;;;;
Genova;;;45;
Genova;26;;51;
Genova;30;19;48;
La Spezia;20;;32;0,3
La Spezia;21;9;26;0,3
La Spezia;21;8;26;0,2
La Spezia;19;;33;
La Spezia;;;12;
La Spezia;24;15;44;0,2
La Spezia;;;11;
La Spezia;;;5;
Varese;29;22;39;
Varese;;;22;
Como;34;27;49;
Lecco;28;;42;
Lecco;25;17;25;
Sondrio;24;;27;
Sondrio;25;20;23;1,7
Milano;40;27;54;
Milano;39;;48;
Milano;;;50;
Milano;;;35;
Milano;;;56;
Milano;;;64;
Milano;40;29;45;
Monza;39;30;54;
Monza;33;;48;
Bergamo;38;;50;
Bergamo;35;26;32;0,4
Bergamo;;;28;
Brescia;37;24;40;
Brescia;39;29;34;0,6
Brescia;;;62;
Brescia;;;35;
Pavia;41;;47;
Pavia;35;26;30;
Lodi;41;22;37;
Lodi;35;27;33;
Cremona;42;31;44;
Cremona;41;27;30;
Cremona;38;;25;
Mantova;35;;19;
Mantova;40;;21;
Mantova;37;28;28;0,6
Mantova;35;;26;
Mantova;;;21;
Bolzano - Bozen;21;15;43;
Bolzano - Bozen;19;13;;1,3
Bolzano - Bozen;;;31;
Trento;21;16;37;0,9
Trento;27;;50;
Verona;34;0;34;0
Verona;31;23;24;0,5
Vicenza;40;;39;
Vicenza;35;28;35;1,1
Vicenza;34;27;34;
Belluno;24;;31;
Belluno;19;15;20;1,3
Treviso;36;25;34;1,3
Treviso;37;;36;
Venezia;35;27;32;1,2
Venezia;36;;35;
Venezia;40;;42;
Venezia;37;;46;
Venezia;40;29;29;1,5
Padova;39;;42;1,4
Padova;42;34;33;1,5
Padova;41;;;1,4
Padova;40;29;35;1,4
Padova;37;26;36;1,4
Rovigo;37;28;28;
Rovigo;35;;20;0,8
Pordenone;26;18;29;0,5
Udine;23;17;21;0,7
Udine;20;;;
Udine;23;;26;
Gorizia;19;15;25;
Trieste;22;;23;
Trieste;;;;0,2
Trieste;20;;33;
Trieste;21;;30;
Trieste;13;;;
Piacenza;36;;37;
Piacenza;36;26;42;
Piacenza;32;24;25;
Piacenza;38;28;39;
Parma;35;;37;
Parma;36;24;26;0,2
Reggio nell'Emilia;40;;42;
Reggio nell'Emilia;33;23;25;
Modena;38;;34;
Modena;33;22;31;0,3
Modena;36;;24;
Modena;34;22;25;
Modena;36;;42;
Bologna;25;18;25;0,2
Bologna;29;20;46;0,2
Bologna;28;;20;
Ferrara;32;;40;0,3
Ferrara;31;20;21;0,4
Ferrara;32;24;27;
Ferrara;;;;
Ferrara;35;25;30;0,3
Ravenna;28;;31;0,3
Ravenna;29;;24;0,3
Ravenna;28;21;20;0,3
Forlì;26;;30;
Forlì;24;18;20;
Rimini;32;;40;
Rimini;28;18;24;0,3
Massa;16;5;18;
Lucca;26;;26;0,4
Lucca;;;11;
Lucca;28;;28;
Pistoia;20;;24;
Firenze;20;13;25;0,4
Firenze;18;;;
Firenze;28;16;64;0,7
Firenze;22;;42;
Firenze;;;10;
Prato;24;17;32;
Prato;25;18;33;0,6
Livorno;23;13;36;
Livorno;17;9;16;
Livorno;19;;22;0,1
Pisa;22;14;19;
Pisa;27;18;36;
Arezzo;24;;39;
Arezzo;19;13;16;0,6
Siena;19;;42;
Grosseto;24;0;39;0
Grosseto;17;10;16;
Grosseto;;;3;
Perugia;25;17;23;0,4
Perugia;20;12;25;
Perugia;19;12;26;
Terni;33;25;19;1,2
Terni;32;22;30;0,8
Terni;34;24;19;1
Terni;34;22;24;0,8
Terni;35;24;26;0,8
Pesaro;31;17;37;
Ancona;25;15;15;
Macerata;16;9;12;
Ascoli Piceno;19;13;17;
Viterbo;18;11;28;
Rieti;20;13;23;
Roma;24;13;45;0
Roma;27;0;37;0
Roma;19;11;11;0
Roma;28;17;41;0,5
Roma;23;14;47;0
Roma;27;16;61;0,3
Roma;29;0;62;0
Roma;31;0;42;0
Roma;28;0;62;0
Roma;22;14;20;0
Roma;23;15;28;0
Roma;31;0;53;0
Roma;25;15;40;0,5
Latina;23;;30;
Latina;24;;21;
Latina;22;13;27;
Frosinone;39;;40;
Frosinone;25;17;27;
L'Aquila;16;10;15;0,3
L'Aquila;;;10;
L'Aquila;;;3;
Teramo;19;;7;
Teramo;22;;26;0,2
Pescara;26;16;28;
Pescara;24;15;34;
Pescara;28;;27;
Chieti;22;15;19;
Campobasso;17;;20;0,2
Caserta;22;13;21;
Caserta;30;10;;
Benevento;27;18;18;
Benevento;29;;32;
Benevento;19;;9;
Napoli;35;21;61;
Napoli;25;15;42;
Napoli;24;;50;
Napoli;26;11;22;
Napoli;34;22;44;
Napoli;31;18;45;
Avellino;21;;;
Avellino;30;;;
Salerno;32;1;10;
Salerno;31;5;18;
Salerno;30;6;18;
Foggia;22;14;23;
Andria;23;0;23;0
Barletta;;;;
Bari;27;15;29;0,2
Bari;21;;27;0,1
Bari;26;15;43;
Bari;27;;20;
Bari;22;;23;
Taranto;22;12;17;
Taranto;19;;12;
Taranto;20;11;27;0,2
Taranto;27;14;24;0,3
Taranto;17;10;11;
Taranto;20;;;0,4
Taranto;22;12;18;0
Brindisi;18;;11;
Brindisi;23;14;25;
Brindisi;19;;20;
Brindisi;21;13;12;
Brindisi;23;;27;
Brindisi;20;12;24;
Brindisi;22;;17;
Lecce;21;13;18;
Lecce;21;13;7;
Lecce;22;14;28;0,7
Potenza;14;;;
Potenza;;;6;
Potenza;14;;;
Potenza;16;;;
Matera;;;;
Cosenza;20;14;24;0,2
Crotone;27;16;29;0,3
Crotone;25;;26;
Catanzaro;15;10;8;0
Catanzaro;22;0;32;0
Vibo Valentia;22;;21;0,4
Vibo Valentia;18;11;17;0,4
Reggio di Calabria;20;;15;
Reggio di Calabria;18;9;22;0,1
Trapani;19;;;
Palermo;19;;14;
Palermo;31;;48;
Palermo;27;;38;
Palermo;;;37;
Palermo;34;;60;
Palermo;;;;
Palermo;30;;32;
Palermo;29;;41;
Messina;19;;;
Messina;;;;
Messina;22;;31;
Messina;;;23;
