Comune;"PM10
valore della
concentrazione
media annua 
(in µg/m3)";"PM2,5
valore della
concentrazione
media annua
(in µg/m3)";"NO2
valore della
concentrazione
media annua di
(in µg/m3)";"B(a)P
valore della
concentrazione
media annua di
(in mg/m3)"
Potenza;16;;;
Matera;;;10;
Cosenza;20;13;22;0,3
Crotone;27;16;21;0,2
Crotone;22;;27;
Catanzaro;15;7;9;0
Catanzaro;23;0;39;0
Catanzaro;18;0;6;0
Vibo Valentia;23;;20;0,2
Vibo Valentia;19;9;11;0,3
Reggio di Calabria;21;;10;
Reggio di Calabria;19;10;21;0,2
Trapani;20;;17;
Palermo;17;;15;
Palermo;34;;;
Palermo;;;42;
Palermo;28;;40;
Palermo;37;;48;
Palermo;27;;;
Palermo;28;;35;
Palermo;31;;37;
Messina;19;;;
Messina;;;;
Messina;23;;39;
Caltanissetta;26;;30;
Caltanissetta;;;20;
Caltanissetta;;;;
Enna;15;;5;
Catania;22;;;
Catania;24;;48;
Catania;24;;19;
Ragusa;28;12;7;
Ragusa;19;;11;
Ragusa;22;;8;
Siracusa;21;9;8;
Siracusa;28;8;18;
Siracusa;35;11;;
Siracusa;28;9;31;
Sassari;19;;31;0,1
Sassari;16;;32;
Sassari;24;6;12;0,1
Sassari;13;;12;
Sassari;13;;3;
Sassari;;;;
Nuoro;13;0;24;
Nuoro;11;0;19;
Oristano;23;11;5;
Oristano;20;;17;
Cagliari;18;8;13;0,1
Cagliari;23;;23;0,2
Cagliari;40;19;30;0,4
Carbonia;20;;8;
;;;;
Fonte: Istat, Dati ambientali nelle città;;;;
