;bambini dell'asilo, della scuola dell'infanzia e studenti fino a 34 anni che escono di casa per andare a scuola o all'università, per mezzo di trasporto utilizzato e tempo impiegato;;;;;;;;;;;;
;  vanno a piedi;  usano mezzi di trasporto;  treno;  tram, bus;  metropolitana;  pullman, corriera;  pullman aziendale;  auto privata (come conducente);  auto privata (come passeggero);  motocicletta, ciclomotore;  bicicletta;  tempo impiegato;
;;;;;;;;;;;;    fino a 15 minuti;    31 minuti e più
  centro area metropolitana;40,6;59,4;2,7;23,9;9,7;0,3;0,4;4,5;22,6;3,9;1,8;49,3;11,4
  periferia area metropolitana;32,9;67,1;10,6;8,5;6;13,7;2,5;5,7;33,8;1;0,9;53;16,7
  fino a 2.000 ab.;20,9;79,1;5;8,2;1,2;21,7;10,6;6,1;36;0,2;1,3;52,2;17
  2.001 - 10.000 ab.;24,7;75,3;5,4;8,7;1,6;20,5;5,8;5,4;35,2;1,1;2,3;53,9;17,8
  10.001 - 50.000 ab.;27,6;72,4;6,2;9,8;1,4;13,5;3,6;4,6;40;1,2;2,5;57,3;12,4
  50.001 ab. e più;33,5;66,5;4,9;14,9;1,7;2,4;1,2;5,2;38,9;2,3;4,2;62,4;8,6
