;  vanno a piedi;  usano mezzi di trasporto;  treno;  tram, bus;  metropolitana;  pullman, corriera;  pullman aziendale;  auto privata (come conducente);  auto privata (come passeggero);  motocicletta, ciclomotore;  bicicletta;  tempo impiegato;
;;;;;;;;;;;;    fino a 15 minuti;    31 minuti e più
    Piemonte;26,9;72,6;3,8;15,4;5,1;14,2;4,5;5;38,8;0,9;1,5;59,9;17,7
    Valle d'Aosta / Vallée d'Aoste;31,5;66,3;2,8;4,3;2,7;14;4,1;1,8;42,7;2,2;0,5;75,4;8,1
    Liguria;29,5;70,2;14,4;20,5;1,6;5,8;4;3,7;30,8;6,6;1;54,4;14,4
    Lombardia;28,9;70,4;7,5;10,9;8,3;15,4;5,6;3,4;33,3;1,4;2,7;63;17,1
    Trentino Alto Adige / Südtirol;24,3;75,5;9,9;14,9;1;18,3;7,4;3,2;29,9;1;3,5;61,5;16,2
    Provincia Autonoma Bolzano / Bozen;22,6;77,2;12,9;12,6;1;16,6;7,4;2,2;33,7;1;3,9;59,7;16,1
    Provincia Autonoma Trento;26,1;73,9;6,9;17,1;1;19,9;7,5;4,2;26,3;0,9;3,1;63,3;16,3
    Veneto;22,2;77,4;6,2;9,9;0,6;15;5,9;3,7;42,1;1,8;5,9;63,5;16
    Friuli-Venezia Giulia;18,8;80,2;7,2;17,3;0;17,1;5,2;4,3;40,7;0,8;4,5;58,5;19,8
    Emilia-Romagna;22,7;76,9;6,3;16,6;0,2;10,5;3,8;6,6;40,1;1,8;8,7;64,1;10,7
    Toscana;30,6;68,7;9,9;13;0;11,1;5,1;6;33;4,1;3;60,2;17,7
    Umbria;14,6;85,4;7,8;15,2;1,3;6,7;6,5;8,8;55,1;1;2,1;64,2;14,7
    Marche;18,5;81,1;2,9;12,1;0;16,1;10,5;5,2;43,5;1,3;2,6;61,7;14,4
    Lazio;27,3;72,2;6,4;18,5;11,4;6,4;5,5;7,4;33,9;2,4;0,3;51,9;17
    Abruzzo;22;77,3;3,9;13,4;0,2;18;6,6;5,2;39,4;0,5;1,5;62,4;11,6
    Molise;28,3;70,4;2,6;15,4;2,2;15,4;9,3;7;28,7;1;0;59,4;15,5
    Campania;34,4;65;5,1;9,4;5,3;12;3,9;4,8;33,1;1,2;1,6;55,8;11,7
    Puglia;36,9;62,1;7;8,3;1,1;13,3;2,3;4,6;32,9;1,1;1,9;60,7;13,5
    Basilicata;27,6;72;3,9;10,4;1,4;16;9,5;2;34,4;0;0,6;60,2;13,6
    Calabria;20,2;79,3;3,8;12,2;0,7;13,2;8,3;5,6;42,6;0,6;1,6;48,3;10,8
    Sicilia;30,5;69;1,2;7,6;0,2;7,5;4,4;6,1;45,4;4,8;1,5;64,4;9,7
    Sardegna;32,1;67,9;2;12,3;0,4;15,1;2,5;2,4;36,4;1,2;1,8;65,6;13,9
