;  vanno a piedi;  usano mezzi di trasporto;  treno;  tram, bus;  metropolitana;  pullman, corriera;  pullman aziendale;  auto privata (come conducente);  auto privata (come passeggero);  motocicletta, ciclomotore;  bicicletta;  tempo impiegato;
;;;;;;;;;;;;    fino a 15 minuti;    31 minuti e più
    Piemonte;31,4;68,6;9,4;11,2;5,7;9,3;3,8;6,2;36,8;0,9;1,8;61,7;15,7
    Valle d'Aosta / Vallée d'Aoste;21,8;78,2;5;10,1;2;14,7;8,3;4,7;44,6;2,5;3;62,7;10
    Liguria;31,4;68,6;9,9;25,2;0,6;7,4;4,5;2,8;26,2;4,4;0;51,6;17,3
    Lombardia;26,7;73,3;7,3;13,7;8,3;13;3,2;4,5;35,1;1,2;2;55,3;18
    Trentino Alto Adige / Südtirol;32,1;67,9;9;16,7;1,1;16,2;9,1;2,7;18,8;1,2;6,6;57,9;16,3
    Provincia Autonoma Bolzano / Bozen;39,2;60,8;9,5;15,4;0,5;13,5;9;0;12,8;0,4;9,6;58,2;16,5
    Provincia Autonoma Trento;25,7;74,3;8,5;17,8;1,6;18,7;9,3;5,1;24,3;1,9;3,9;57,6;16,1
    Veneto;22,4;77,6;6;12,5;0,2;16,2;5,9;3,5;39;1;7,5;55,8;16,8
    Friuli-Venezia Giulia;18,4;81,6;7,2;20,4;0,6;14,2;6,7;5,7;38;0,3;4,4;55,4;17,6
    Emilia-Romagna;20,9;79,1;7,2;13,7;0;11,1;1,9;5,7;45,2;0,5;6,6;61;14,8
    Toscana;24,6;75,4;6,4;12,8;0,3;9,6;5,5;5,9;38,5;4;4;60,4;14,6
    Umbria;16,5;83,5;2,8;12,6;0,2;9,4;6,4;8,2;52,5;1,6;0;66,6;12,3
    Marche;17,6;82,4;2,1;13,2;0,7;12,9;4,2;6;47,4;1,6;0,6;59,5;11,8
    Lazio;27,6;72,4;8,5;17,3;12,3;8,2;2,1;6,4;31,3;1,7;0,6;53,9;16,4
    Abruzzo;17,5;82,5;2,6;12;1,3;14,5;13;9,4;39,7;0,6;2,1;55;11,9
    Molise;21,8;78,2;3,8;12,6;2,9;16,6;9,9;5,3;32,8;0;0,9;54,3;12,7
    Campania;36,1;63,9;8;7;5,5;10,6;3,4;3,4;34,4;1,2;0;55;13,4
    Puglia;38,4;61,6;4,6;12,6;1,6;11,8;1,4;1,4;31,8;0,2;1,3;55,1;10,4
    Basilicata;25,7;74,3;4,9;17;0,9;16,8;8,9;3,3;25,8;0;0,9;53,6;12,5
    Calabria;20,4;79,6;2,2;10,5;1;17,3;4,7;5,4;42,2;0,2;0,2;55;11,9
    Sicilia;29,7;70,3;1,7;11,6;2,4;6,8;3,5;3,9;42,8;2,5;0,2;57,3;8,5
    Sardegna;24,8;75,2;2,3;11,6;0;18,9;1,6;4,9;40,6;0,5;1;53,5;16,4
