Piemonte;14;19,2
Valle d'Aosta / Vallée d'Aoste;10,4;9,3
Liguria;9,9;22,1
Lombardia;10;17,4
Trentino Alto Adige / Südtirol;3,7;4,8
Provincia Autonoma Bolzano / Bozen;2,2;4,1
Provincia Autonoma Trento;5,1;5,4
Veneto;9,2;15,1
Friuli-Venezia Giulia;6,9;11,7
Emilia-Romagna;10;16
Toscana;8,4;17,9
Umbria;13,7;34,5
Marche;10,2;27,7
Lazio;14,1;35,4
Abruzzo;10;29,5
Molise;8,1;24,4
Campania;21,1;23,1
Puglia;12,3;27,6
Basilicata;11,5;21,7
Calabria;16,6;25,3
Sicilia;17,5;26,4
Sardegna;12,9;26,3
