;difficoltà collegamento mezzi;cattivo stato strada
centro area metropolitana;8,6;29
periferia area metropolitana;15,4;21,4
fino a 2.000 ab.;23,4;17,6
2.001 - 10.000 ab.;13,3;18,8
10.001 - 50.000 ab.;12;21,6
50.001 ab. e più;9,1;22,7
