;difficoltà collegamento mezzi;cattivo stato strada
centro area metropolitana;7,5;35,1
periferia area metropolitana;14,8;25,6
fino a 2.000 ab.;11,3;11,9
2.001 - 10.000 ab.;14,2;18,5
10.001 - 50.000 ab.;12;22,4
50.001 ab. e più;8,8;22,7
