Piemonte;10,3;17,7
Valle d'Aosta / Vallée d'Aoste;7,9;12,9
Liguria;7,3;22,2
Lombardia;9,9;17,6
Trentino Alto Adige / Südtirol;6;7,1
Provincia Autonoma Bolzano / Bozen;4,2;8,4
Provincia Autonoma Trento;7,7;5,8
Veneto;12,8;13,9
Friuli-Venezia Giulia;6,7;11,5
Emilia-Romagna;9,1;18,4
Toscana;12,7;21,8
Umbria;10,7;42,3
Marche;7,7;20,5
Lazio;11,5;46,7
Abruzzo;8,7;23,5
Molise;8,8;23,6
Campania;21,2;26
Puglia;10,4;26,8
Basilicata;16,8;27,8
Calabria;12,2;22,6
Sicilia;12,3;24,5
Sardegna;12,8;32,7
