Piemonte;9,7;14
Valle d'Aosta / Vallée d'Aoste;8,3;6,7
Liguria;7,1;19,8
Lombardia;9,2;14,3
Nord-est;7,6;12,4
Trentino Alto Adige / Südtirol;7,3;9
Provincia Autonoma Bolzano / Bozen;5,7;7,1
Provincia Autonoma Trento;8,8;10,9
Veneto;8,4;12,3
Friuli-Venezia Giulia;8,1;11
Emilia-Romagna;6,8;13,6
Toscana;9,6;17,3
Umbria;11,9;25,3
Marche;9;14,6
Lazio;12;33,4
Abruzzo;9,8;18,6
Molise;7,6;14,4
Campania;20,7;24
Puglia;8,6;21,9
Basilicata;9,3;16,9
Calabria;16,4;23,2
Sicilia;13;24,1
Sardegna;8,3;18,8
