;vanno a piedi;usano mezzi di trasporto;treno;tram, bus;metropolitana;pullman, corriera;pullman aziendale;auto privata (come conducente);auto privata (come passeggero);motocicletta, ciclomotore;bicicletta;tempo impiegato;
centro area metropolitana;14,2;85,8;4;16,6;14,5;1;0,4;50,2;2,5;9,5;2,7;19,6;23,9
periferia area metropolitana;8,8;91,2;6,1;3,6;6,4;3,3;0,1;73,5;4,7;3,4;2,3;29,6;23,1
fino a 2.000 ab.;9,5;90,5;2,6;0,9;1;1,3;0,4;79,1;6,7;0,9;1,1;34;14,9
2.001 - 10.000 ab.;10,7;89,3;2,1;1;0,8;1,5;0,6;77,7;5,1;2;2,7;40,6;14,1
10.001 - 50.000 ab.;11,9;88,1;2,7;1,7;0,9;1,7;0,3;74,7;6;2,5;3,2;42;11,6
50.001 ab. e più;13,4;86,6;2,2;4,3;1;1;0,2;69,2;5,5;3,8;5,3;44,4;10,1
