;vanno a piedi;usano mezzi di trasporto;treno;tram, bus;metropolitana;pullman, corriera;pullman aziendale;auto privata (come conducente);auto privata (come passeggero);motocicletta, ciclomotore;bicicletta;tempo impiegato;
Piemonte;12,1;87,9;3;4,6;3;1,9;0,4;72,1;4,6;1,1;3,4;35,6;14,6
Valle d'Aosta / Vallée d'Aoste;19,7;80,3;2,6;2,7;0,1;4,1;0,9;68,8;6,5;3,6;2,9;47,1;13,2
Liguria;14,4;85,6;5,7;12,2;2,3;1,7;0;52,6;3,8;19,4;1,8;33,2;18,8
Lombardia;9,6;90,4;5,4;6,6;10,3;2,2;0,1;68;3,5;2,7;4,3;32,4;22,6
Trentino Alto Adige / Südtirol;19;81;4,5;5;0,1;2,9;0,5;61,2;4,2;2,2;9,8;53;9,7
Provincia Autonoma Bolzano / Bozen;22,9;77,1;6,2;5,6;0,2;4,7;0,4;52,1;3,2;3,1;13;54,1;9,3
Provincia Autonoma Trento;15,2;84,8;2,9;4,4;0;1,1;0,5;70;5,3;1,4;6,7;52;10,1
Veneto;6,4;93,6;1,6;2,6;0;1,1;0;79,5;3,7;2,5;4,6;41,6;14,1
Friuli-Venezia Giulia;9;91;1,8;4;0,1;0,6;0,2;76,3;4,2;4,3;4,2;44;10,7
Emilia-Romagna;9,7;90,3;1,6;3,4;0,2;0,8;0;74,8;4;3,6;6,8;42,4;10,4
Toscana;10,7;89,3;2;4;0;1,1;0,5;74,4;4,2;6,1;3,2;40,8;14,5
Umbria;9;91;1,8;1,2;0,4;0,8;0;81,7;3;3;2,5;46,9;9,1
Marche;11;89;0,6;1,6;0,3;0,6;0;79,8;4,3;3,1;1,7;47,7;6,6
Lazio;9,5;90,5;5,9;9,5;12,4;2,4;0,9;67,8;3,9;5,7;0,9;23,3;27,4
Abruzzo;13,2;86,8;1,1;1,8;1;1,2;0,6;76,3;5,7;1,4;2;42,5;9,8
Molise;12,5;87,5;1,7;1,4;0,9;3,6;0;77,3;5,9;0,3;1,2;35,8;12,2
Campania;20,3;79,7;4,5;3,2;2,5;1,6;0,1;63,3;6,4;4,2;0,6;29,2;12,8
Puglia;14,2;85,8;1,8;2,1;0,5;2,4;1;67,8;10,5;2,3;1,9;40,2;10,9
Basilicata;12,8;87,2;0,3;1,4;0,6;3,1;2,2;72,8;7,2;1,3;0,5;41,5;11,6
Calabria;16,6;83,4;0,8;2,6;0,6;1,4;0,3;68,2;11,2;0,7;1,2;38,5;9
Sicilia;13,3;86,7;1,1;1,4;0,6;0,9;0,7;70,6;6,9;5,3;0,7;34,5;10,1
Sardegna;14,9;85,1;0,6;1,9;0;0,1;0,2;73,9;6,5;0,9;2,3;42;12,1
