;vanno a piedi;usano mezzi di trasporto;treno;tram, bus;metropolitana;pullman, corriera;pullman aziendale;auto privata (come conducente);auto privata (come passeggero);motocicletta, ciclomotore;bicicletta;tempo impiegato;

Piemonte;13,8;84,2;4;6,7;3,6;2,4;0,3;69,3;4,9;2,5;3;35,9;17,7
Valle d'Aosta / Vallée d'Aoste;16,4;82,5;2;0,9;0,4;2;0,3;73,2;6,2;1;2,8;56,6;6,5
Liguria;16,2;83,5;6,2;11,4;2,3;1,6;0,6;50,4;3,9;20,2;1,7;37;15,9
Lombardia;8,6;89,5;5;6,4;9;2,7;0,4;67,4;4,3;4,6;5;36,6;22,4
Trentino Alto Adige / Südtirol;17,6;82,2;4,1;3,7;0;3,4;0,6;65;4;2,9;10,2;49,6;12,8
Provincia Autonoma Bolzano / Bozen;22,5;77,5;5,2;3,3;0;4,5;0,6;57,8;3;3,8;13,1;49;14,2
Provincia Autonoma Trento;12,9;86,7;3;4;0;2,3;0,6;72,1;4,9;2,1;7,3;50,1;11,5
Veneto;8,8;90,6;2,9;3,1;0,3;2,8;0,5;74,7;2,7;2,8;8,6;43,3;15,2
Friuli-Venezia Giulia;10,2;89,1;2,8;4,5;0,6;1,2;0,5;75,8;3,2;5,3;6,6;45,7;14,7
Emilia-Romagna;9,9;89,4;2,7;4,8;0,2;1;0,5;72,8;3,2;3,7;8;42,1;14,5
Toscana;12,1;87,1;4,8;4,9;0;2,5;0,6;69,3;5;7,8;7,2;43,3;13,4
Umbria;6,9;91,7;1,8;2,6;0,4;1;0;82,2;5,1;1,1;1,9;50,9;8,7
Marche;7,9;91,4;1,8;1,5;0;1,3;0,4;82,1;5,3;3,4;3,4;52,1;10,3
Lazio;11,8;86,9;5,5;11,3;10,2;2,1;0,6;63,5;7,2;6,1;1,7;23,1;29,1
Abruzzo;11;87,8;3,3;2,5;0,6;3;0,6;77,3;5,6;0,5;1,7;49,4;11,8
Molise;16,3;82,6;1,4;1,2;0,3;7,7;1,6;66,8;6,8;0,8;1,1;41,1;11,4
Campania;18,2;80,1;2,7;3,9;2,8;3,7;0,6;63,5;7,6;2,7;0,8;30,1;17,1
Puglia;18;81;2,2;2;0,5;2,9;0,4;68,8;7,8;1,1;1,3;40,7;11,6
Basilicata;17,3;81,8;0,5;4,1;0,5;2,9;0,8;70,5;9,4;1,2;0,3;49;10,6
Calabria;12,7;85,9;1,4;3,3;0,7;1,8;0,5;69,5;11,8;1;1,2;41,2;11,6
Sicilia;13;85,8;1;3,8;0,8;1,3;0,6;71,3;8,4;5,7;1,3;41,5;12,2
Sardegna;14,8;84,9;1,7;3,8;0;2,5;0,3;73,6;6,5;1;1,6;43,8;17
