;vanno a piedi;usano mezzi di trasporto;treno;tram, bus;metropolitana;pullman, corriera;pullman aziendale;auto privata (come conducente);auto privata (come passeggero);motocicletta, ciclomotore;bicicletta;tempo impiegato;
Piemonte;14,3;84,8;4,6;5,5;4,1;2,2;0,4;69;4,6;1,3;4,5;39,4;16,7
Valle d'Aosta / Vallée d'Aoste;21,3;77,4;2;3,3;0,6;3,2;0,7;67,6;3,6;2,8;3,4;56,9;11,4
Liguria;14,1;85;7,3;11;0,8;2,9;0,4;52,8;4,5;18,8;1,8;35,9;12,7
Lombardia;10,3;88,7;6,8;7,1;11,7;2,4;0,3;66,7;4,6;2,9;5;33,6;25,5
Trentino Alto Adige / Südtirol;14,9;84,6;4,1;5;0,1;3,1;2,5;63,5;5,6;4,1;9,1;48,5;11,4
Provincia Autonoma Bolzano / Bozen;15,9;83,7;5,7;6,6;0;3,6;4,2;57,2;6,2;4,5;12,5;51,9;11,3
Provincia Autonoma Trento;13,9;85,5;2,4;3,3;0,1;2,6;0,8;70;5;3,6;5,5;44,9;11,4
Veneto;10,3;88,9;2,4;3,3;0,4;1,9;0,2;76,6;4,2;2,7;7,1;42,7;11,4
Friuli-Venezia Giulia;11;88;2,4;3,9;0;0,3;0,2;75,6;5,1;5,3;6,8;47,9;7,3
Emilia-Romagna;10,9;88,7;2,8;5,1;0,4;1,4;0,3;72,8;3,4;4,1;7,7;39,6;11,7
Toscana;11;87,7;4,4;4,5;0,1;0,9;0,1;70,4;4,7;6,7;5,3;41,1;11,3
Umbria;9,5;89,5;3,7;1,7;0,2;0,5;0;83,3;3,4;1,6;2,4;50;9
Marche;9,8;89,3;2;2,3;0,6;2,3;0,1;79,2;4,9;2,5;2,8;48,4;6,9
Lazio;10,6;87,1;7,2;11,7;10,5;2,6;0,3;63,8;4;5,2;1,1;26,6;32,7
Abruzzo;12,6;86,4;1,2;2,3;0,6;2,1;0,7;74,8;10,2;2,3;1,3;47,6;10
Molise;13,4;85,4;1,3;2;0,1;4,3;1,5;75,3;6,8;0,3;0,5;40,4;13,5
Campania;17,4;80,6;4,9;4,5;3;2,1;0,6;63,2;8,8;2,5;1,1;28,4;17,4
Puglia;16,5;81,9;1,7;2;0,5;2,7;1,5;69,3;9,7;1,6;2;42,2;9,4
Basilicata;13,7;83,4;1;1,5;1,1;2,2;1;71,8;8,9;0,2;0,3;47,5;13,9
Calabria;15,1;84;1,1;3,1;0,9;1,8;0,7;69,8;10;0,6;0,7;40,6;10,9
Sicilia;15,4;83,3;1;4;1,6;1,2;0,1;67,3;7,5;6,7;1,3;37,4;12,6
Sardegna;12,9;86,2;0,9;2,9;0;1,8;0,1;76,3;7,4;2,9;0,4;42,2;12,5
