;vanno a piedi;usano mezzi di trasporto;treno;tram, bus;metropolitana;pullman, corriera;pullman aziendale;auto privata (come conducente);auto privata (come passeggero);motocicletta, ciclomotore;bicicletta;tempo impiegato;

Piemonte;15,1;84,9;1,7;3,9;2,4;1,1;0,2;72,4;4,3;2,1;2,6;38,3;15,7
Valle d'Aosta / Vallée d'Aoste;20,4;79,6;1,4;0,7;0;4,7;0,9;72,2;3,2;1,8;2,3;43,6;9,2
Liguria;15,8;84,2;4,7;9,6;0,7;1,3;0,2;55,6;3,3;14,5;1,3;31,2;17
Lombardia;12,1;87,9;3,7;4,4;6,4;1,4;0,2;69,6;3,2;3;4,8;35,4;19,4
Trentino Alto Adige / Südtirol;14,2;85,8;3,5;3,7;0,1;2,3;0,5;65,4;4;3,8;9,4;47,2;10,4
Provincia Autonoma Bolzano / Bozen;18,3;81,7;4,6;4,3;0,3;4;0,7;56,5;2,9;4;14,2;49,6;9,3
Provincia Autonoma Trento;10,2;89,8;2,5;3,2;0;0,7;0,3;74,1;5;3,7;4,8;44,8;11,5
Veneto;7,3;92,7;1,6;2,3;0;1,5;0,3;77,9;3,8;2,8;6,7;39,3;15,2
Friuli-Venezia Giulia;8,2;91,8;1;3;0,3;0,5;0;81,4;3,3;3,3;5,2;43;9,2
Emilia-Romagna;10,7;89,3;2,2;2,5;0,1;1,1;0,2;76,5;3,1;2,9;5,4;42;13,7
Toscana;9,8;90,2;2,2;2,4;0,2;1,2;0;74,4;3,7;6,7;3,3;40,3;14
Umbria;10,9;89,1;1,9;1,3;0,6;1;0;81,8;3,7;1,1;1,4;50,9;11,4
Marche;9,4;90,6;0,4;0,9;0,6;0,3;0;79,1;5,2;3;2,7;48,4;6,7
Lazio;11,5;88,5;6,8;8,1;9,5;1,2;0,4;64,2;5,7;5,8;0,9;20,8;26,4
Abruzzo;13,8;86,2;1,5;0,8;0,4;2,3;0,5;75,9;5;1,4;1,9;48,8;10,9
Molise;13,7;86,3;1;1,2;0,6;3,8;2,2;74,8;6,9;0,2;0,6;37,2;8,5
Campania;17,2;82,8;2,3;3,7;3,3;1;0,4;65,5;6,4;3,8;1,4;26,5;13,5
Puglia;17;83;1,4;1,9;0,3;1,8;0;72,1;7,6;1,5;1,1;41,2;10,7
Basilicata;15,5;84,5;0,4;0,8;1,2;2,9;0,9;73;6,5;0,6;0,3;43,7;15,3
Calabria;14;86;1,8;2,8;0,8;1,6;0,8;72,2;7,4;0,7;0,5;38;10,7
Sicilia;11,6;88,4;0,9;2,1;0,7;1;0,4;70,4;9,8;6,4;1,9;35,6;13,1
Sardegna;13,1;86,9;0,8;1,8;0;1,4;0;77,3;5;1,3;2,3;39,1;12,6
