;vanno a piedi;usano mezzi di trasporto;treno;tram, bus;metropolitana;pullman, corriera;pullman aziendale;auto privata (come conducente);auto privata (come passeggero);motocicletta, ciclomotore;bicicletta;tempo impiegato;
centro area metropolitana;15;84,2;4,5;19;12,4;1,5;0,2;45,9;4,2;10,2;4,9;21,9;24
periferia area metropolitana;9,3;88,3;6,3;5,4;7,4;4,5;0,3;68,3;5,9;4,3;3,7;27,4;26,5
fino a 2.000 ab.;12,5;85,7;1,4;0,9;0,4;2,7;0,5;77,5;3,5;2,3;1,1;40;18,9
2.001 - 10.000 ab.;11,1;87,8;3,2;1,2;1;2,6;0,4;77,3;5,5;2,3;2,8;42,2;16,4
10.001 - 50.000 ab.;12;87,1;2,8;2,2;1,1;2,3;0,6;74,6;6,1;2,8;4,1;46,1;13
50.001 ab. e più;12,3;86,5;3;5,2;0,7;1,2;0,6;68,6;5,5;4,7;6,8;44,5;12,1
