;vanno a piedi;usano mezzi di trasporto;treno;tram, bus;metropolitana;pullman, corriera;pullman aziendale;auto privata (come conducente);auto privata (come passeggero);motocicletta, ciclomotore;bicicletta;tempo impiegato;
centro area metropolitana;15,9;84,1;2,8;13,7;11,6;0,7;0,2;49;3,8;10,1;4,3;20,8;22,3
periferia area metropolitana;9,3;90,7;4,9;3,2;3,8;2,3;0,2;75,5;4,7;3,6;2,2;27,4;22,3
fino a 2.000 ab.;12,6;87,4;0,9;0,6;0,3;1,1;0,1;79,7;3;1,4;0,8;40,3;14,1
2.001 - 10.000 ab.;10,6;89,4;1,7;0,7;0,7;1,6;0,3;78,9;4,7;1,6;2,8;39,9;13,9
10.001 - 50.000 ab.;12,3;87,7;2,6;1,5;0,8;1,2;0,3;74,6;5,8;2,7;3,2;42,4;13,3
50.001 ab. e più;14;86;2,5;3,5;0,7;0,8;0,2;70;5;3,7;5,2;42,6;10,6
