;vanno a piedi;usano mezzi di trasporto;treno;tram, bus;metropolitana;pullman, corriera;pullman aziendale;auto privata (come conducente);auto privata (come passeggero);motocicletta, ciclomotore;bicicletta;tempo impiegato;
centro area metropolitana;14,8;84,4;4,5;20,6;15,9;1,5;0,2;48;3,3;8,9;3,2;21,5;26,9
periferia area metropolitana;11,3;87,3;7,3;4;6,1;3;0,3;70,3;5,9;3,5;3,4;30,8;24,9
fino a 2.000 ab.;13,4;85,4;2,8;1,4;0,7;1,3;0,5;76,8;4,3;1,6;0,9;42,8;15,2
2.001 - 10.000 ab.;11,9;86,9;3,1;1;0,8;2;0,6;76,1;4,8;2,1;3,3;41;14,8
10.001 - 50.000 ab.;11,9;86,8;4;2;1,4;2,5;0,6;73,2;7,3;2,4;3,8;44,4;12,8
50.001 ab. e più;12,5;86,5;3,6;5,7;1,3;1,2;0,3;68,9;6;4,9;6,9;42,2;10,1
